departamento,anio,ingreso_laboral_soles,pobreza_extrema_pct,pobreza_total_pct,valor_max_pobreza_extrema_pct,valor_max_pobreza_total_pct,valor_min_pobreza_extrema_pct,valor_min_pobreza_total_pct,region_natural
LIMA METROPOLITANA 1/,2022,1885.2,2.55,27.55,3.2,29.2,1.9,25.9,Lima Metropolitana
LIMA METROPOLITANA 1/,2023,2141.1,3.0,29.65,3.7,31.4,2.3,27.9,Lima Metropolitana
LIMA METROPOLITANA 1/,2024,,2.95,26.2,3.6,28.0,2.3,24.4,Lima Metropolitana
LIMA METROPOLITANA 1/,2025,,3.6,27.2,4.3,29.0,2.9,25.4,Lima Metropolitana
LORETO,2004,473.5,,,,,,,Selva
LORETO,2005,492.1,,,,,,,Selva
LORETO,2006,577.8,,,,,,,Selva
LORETO,2007,664.5,23.7,56.55,25.6,59.0,21.8,54.1,Selva
LORETO,2008,727.4,21.1,56.85,23.1,59.2,19.1,54.5,Selva
LORETO,2009,771.9,22.0,55.2,24.1,57.4,19.9,53.0,Selva
LORETO,2010,863.9,20.0,48.8,21.7,50.9,18.3,46.7,Selva
LORETO,2011,888.1,14.75,40.1,16.6,42.8,12.9,37.4,Selva
LORETO,2012,977.5,12.7,38.85,14.2,41.2,11.2,36.5,Selva
LORETO,2013,945.0,6.6,37.6,7.5,40.1,5.7,35.1,Selva
LORETO,2014,1038.0,6.1,38.45,7.0,41.2,5.2,35.7,Selva
LORETO,2015,1107.8,6.45,36.4,7.3,38.5,5.6,34.3,Selva
LORETO,2016,1062.3,8.75,34.25,9.8,36.1,7.7,32.4,Selva
LORETO,2017,1167.3,8.8,35.05,10.2,36.8,7.4,33.3,Selva
LORETO,2018,1166.2,6.85,34.55,7.7,36.2,6.0,32.9,Selva
LORETO,2019,1231.5,6.85,30.5,7.9,32.7,5.8,28.3,Selva
LORETO,2020,1180.4,7.3,32.95,8.3,34.6,6.3,31.3,Selva
LORETO,2021,1178.0,7.1,38.8,8.1,40.9,6.1,36.7,Selva
LORETO,2022,1292.9,11.05,41.35,12.3,43.3,9.8,39.4,Selva
LORETO,2023,1427.1,15.4,41.85,17.1,43.8,13.7,39.9,Selva
LORETO,2024,,17.7,41.75,20.3,44.0,15.1,39.5,Selva
LORETO,2025,,13.05,37.75,15.1,39.8,11.0,35.7,Selva
MADRE DE DIOS,2004,804.1,,,,,,,Selva
MADRE DE DIOS,2005,900.5,,,,,,,Selva
MADRE DE DIOS,2006,1044.6,,,,,,,Selva
MADRE DE DIOS,2007,1090.6,1.45,13.85,1.9,17.6,1.0,10.1,Selva
MADRE DE DIOS,2008,1251.5,0.25,16.85,0.5,19.5,0.0,14.2,Selva
MADRE DE DIOS,2009,1412.0,,6.15,,8.8,,3.5,Selva
MADRE DE DIOS,2010,1495.3,0.2,5.0,0.4,7.2,0.0,2.8,Selva
MADRE DE DIOS,2011,1832.6,,4.15,,6.3,,2.0,Selva
MADRE DE DIOS,2012,1867.4,,2.35,,4.2,,0.5,Selva
MADRE DE DIOS,2013,1936.4,,4.55,,6.0,,3.1,Selva
MADRE DE DIOS,2014,1861.4,2.2,7.75,2.8,9.7,1.6,5.8,Selva
MADRE DE DIOS,2015,1655.5,0.4,8.25,0.6,9.8,0.2,6.7,Selva
MADRE DE DIOS,2016,1632.9,0.25,10.8,0.4,12.0,0.1,9.6,Selva
MADRE DE DIOS,2017,1669.3,0.7,3.45,1.0,4.8,0.4,2.1,Selva
MADRE DE DIOS,2018,1638.7,0.5,3.1,0.7,4.4,0.3,1.8,Selva
MADRE DE DIOS,2019,1665.0,0.5,13.3,0.7,14.6,0.3,12.0,Selva
MADRE DE DIOS,2020,1399.9,3.05,8.95,3.7,11.3,2.4,6.6,Selva
MADRE DE DIOS,2021,1639.9,1.85,6.75,2.4,9.0,1.3,4.5,Selva
MADRE DE DIOS,2022,1821.0,2.55,13.85,3.2,15.7,1.9,12.0,Selva
MADRE DE DIOS,2023,1783.9,3.0,15.65,3.7,17.6,2.3,13.7,Selva
MADRE DE DIOS,2024,,2.95,7.55,3.6,9.1,2.3,6.0,Selva
MADRE DE DIOS,2025,,1.75,5.4,2.2,6.8,1.3,4.0,Selva
MOQUEGUA,2004,738.9,,,,,,,Costa
MOQUEGUA,2005,829.7,,,,,,,Costa
MOQUEGUA,2006,898.3,,,,,,,Costa
MOQUEGUA,2007,1124.1,1.45,25.35,1.9,27.2,1.0,23.5,Costa
MOQUEGUA,2008,1328.2,2.6,37.5,3.2,40.1,2.0,34.9,Costa
MOQUEGUA,2009,1352.5,1.2,16.9,1.7,18.6,0.7,15.2,Costa
MOQUEGUA,2010,1541.3,1.05,15.7,1.4,17.2,0.7,14.2,Costa
MOQUEGUA,2011,1564.0,1.05,11.8,1.4,13.5,0.7,10.1,Costa
MOQUEGUA,2012,1780.2,0.85,8.35,1.3,10.2,0.4,6.5,Costa
MOQUEGUA,2013,1826.3,2.05,9.0,2.6,11.0,1.5,7.0,Costa
MOQUEGUA,2014,1823.7,2.2,12.1,2.8,13.4,1.6,10.8,Costa
MOQUEGUA,2015,1791.2,0.4,8.25,0.6,9.8,0.2,6.7,Costa
MOQUEGUA,2016,1818.4,0.25,10.8,0.4,12.0,0.1,9.6,Costa
MOQUEGUA,2017,1689.7,0.7,13.35,1.0,14.6,0.4,12.1,Costa
MOQUEGUA,2018,1769.5,0.5,12.55,0.7,13.8,0.3,11.3,Costa
MOQUEGUA,2019,1801.5,0.5,13.3,0.7,14.6,0.3,12.0,Costa
MOQUEGUA,2020,1693.7,3.05,17.3,3.7,19.5,2.4,15.1,Costa
MOQUEGUA,2021,1764.0,1.85,12.8,2.4,14.6,1.3,11.0,Costa
MOQUEGUA,2022,1780.8,3.85,13.85,4.4,15.7,3.3,12.0,Costa
MOQUEGUA,2023,1829.7,3.0,15.65,3.7,17.6,2.3,13.7,Costa
MOQUEGUA,2024,,2.95,7.55,3.6,9.1,2.3,6.0,Costa
MOQUEGUA,2025,,1.75,5.4,2.2,6.8,1.3,4.0,Costa
PASCO,2004,494.9,,,,,,,Sierra
PASCO,2005,513.6,,,,,,,Sierra
PASCO,2006,492.8,,,,,,,Sierra
PASCO,2007,638.0,23.7,56.55,25.6,59.0,21.8,54.1,Sierra
PASCO,2008,747.6,21.1,56.85,23.1,59.2,19.1,54.5,Sierra
PASCO,2009,806.4,22.0,55.2,24.1,57.4,19.9,53.0,Sierra
PASCO,2010,893.4,10.25,37.5,11.9,41.4,8.6,33.6,Sierra
PASCO,2011,896.6,14.75,40.1,16.6,42.8,12.9,37.4,Sierra
PASCO,2012,834.8,12.7,38.85,14.2,41.2,11.2,36.5,Sierra
PASCO,2013,859.5,13.85,50.55,15.5,53.3,12.2,47.8,Sierra
PASCO,2014,866.1,12.35,38.45,13.8,41.2,10.9,35.7,Sierra
PASCO,2015,892.4,6.45,36.4,7.3,38.5,5.6,34.3,Sierra
PASCO,2016,1000.8,8.75,34.25,9.8,36.1,7.7,32.4,Sierra
PASCO,2017,1051.1,5.6,35.05,6.5,36.8,4.7,33.3,Sierra
PASCO,2018,1055.7,6.85,34.55,7.7,36.2,6.0,32.9,Sierra
PASCO,2019,1172.0,2.95,30.5,3.5,32.7,2.4,28.3,Sierra
PASCO,2020,834.8,12.95,43.65,14.7,45.9,11.2,41.4,Sierra
PASCO,2021,972.2,7.1,38.8,8.1,40.9,6.1,36.7,Sierra
PASCO,2022,1269.8,11.05,41.35,12.3,43.3,9.8,39.4,Sierra
PASCO,2023,1351.3,9.15,41.85,10.5,43.8,7.8,39.9,Sierra
PASCO,2024,,11.3,41.75,12.8,44.0,9.8,39.5,Sierra
PASCO,2025,,7.2,37.75,8.6,39.8,5.8,35.7,Sierra
PIURA,2004,465.3,,,,,,,Costa
PIURA,2005,448.8,,,,,,,Costa
PIURA,2006,524.9,,,,,,,Costa
PIURA,2007,550.2,11.0,56.55,12.5,59.0,9.5,54.1,Costa
PIURA,2008,620.5,11.15,49.45,13.4,55.3,8.9,43.6,Costa
PIURA,2009,759.8,10.8,41.6,12.7,45.9,8.9,37.3,Costa
PIURA,2010,742.7,10.25,48.8,11.9,50.9,8.6,46.7,Costa
PIURA,2011,856.6,7.15,40.1,8.2,42.8,6.1,37.4,Costa
PIURA,2012,887.0,5.65,38.85,6.6,41.2,4.7,36.5,Costa
PIURA,2013,890.4,6.6,37.6,7.5,40.1,5.7,35.1,Costa
PIURA,2014,902.4,6.1,29.55,7.0,31.8,5.2,27.3,Costa
PIURA,2015,935.0,6.45,26.9,7.3,29.0,5.6,24.8,Costa
PIURA,2016,952.3,4.8,34.25,5.7,36.1,3.9,32.4,Costa
PIURA,2017,1047.5,5.6,24.6,6.5,26.2,4.7,23.0,Costa
PIURA,2018,1104.3,3.1,23.1,3.6,24.6,2.6,21.6,Costa
PIURA,2019,1146.0,2.95,23.6,3.5,25.3,2.4,21.9,Costa
PIURA,2020,992.6,3.05,32.95,3.7,34.6,2.4,31.3,Costa
PIURA,2021,1143.0,1.85,25.55,2.4,27.1,1.3,24.0,Costa
PIURA,2022,1332.1,3.85,27.55,4.4,29.2,3.3,25.9,Costa
PIURA,2023,1386.4,4.55,29.65,5.2,31.4,3.9,27.9,Costa
PIURA,2024,,5.4,31.9,6.2,33.8,4.6,30.0,Costa
PIURA,2025,,3.6,27.2,4.3,29.0,2.9,25.4,Costa
PUNO,2004,381.7,,,,,,,Sierra
PUNO,2005,350.3,,,,,,,Sierra
PUNO,2006,378.2,,,,,,,Sierra
PUNO,2007,412.7,23.7,56.55,25.6,59.0,21.8,54.1,Sierra
PUNO,2008,465.6,21.1,56.85,23.1,59.2,19.1,54.5,Sierra
PUNO,2009,507.5,22.0,55.2,24.1,57.4,19.9,53.0,Sierra
PUNO,2010,588.3,20.0,48.8,21.7,50.9,18.3,46.7,Sierra
PUNO,2011,631.8,7.15,40.1,8.2,42.8,6.1,37.4,Sierra
PUNO,2012,720.7,12.7,38.85,14.2,41.2,11.2,36.5,Sierra
PUNO,2013,806.4,6.6,30.6,7.5,33.2,5.7,28.0,Sierra
PUNO,2014,879.9,6.1,29.55,7.0,31.8,5.2,27.3,Sierra
PUNO,2015,799.5,6.45,36.4,7.3,38.5,5.6,34.3,Sierra
PUNO,2016,856.8,8.75,34.25,9.8,36.1,7.7,32.4,Sierra
PUNO,2017,818.8,8.8,35.05,10.2,36.8,7.4,33.3,Sierra
PUNO,2018,839.8,6.85,34.55,7.7,36.2,6.0,32.9,Sierra
PUNO,2019,876.1,6.85,36.9,7.9,39.4,5.8,34.4,Sierra
PUNO,2020,809.8,7.3,43.65,8.3,45.9,6.3,41.4,Sierra
PUNO,2021,805.7,12.15,38.8,14.3,40.9,10.0,36.7,Sierra
PUNO,2022,930.6,11.05,41.35,12.3,43.3,9.8,39.4,Sierra
PUNO,2023,999.5,15.4,41.85,17.1,43.8,13.7,39.9,Sierra
PUNO,2024,,11.3,41.75,12.8,44.0,9.8,39.5,Sierra
PUNO,2025,,13.05,37.75,15.1,39.8,11.0,35.7,Sierra
SAN MARTÍN,2004,418.7,,,,,,,Selva
SAN MARTÍN,2005,438.2,,,,,,,Selva
SAN MARTÍN,2006,454.9,,,,,,,Selva
SAN MARTÍN,2007,666.6,23.75,56.55,25.7,59.0,21.8,54.1,Selva
SAN MARTÍN,2008,774.2,11.15,37.5,13.4,40.1,8.9,34.9,Selva
SAN MARTÍN,2009,811.1,10.8,55.2,12.7,57.4,8.9,53.0,Selva
SAN MARTÍN,2010,882.3,10.25,37.5,11.9,41.4,8.6,33.6,Selva
SAN MARTÍN,2011,993.0,7.15,28.5,8.2,30.6,6.1,26.4,Selva
SAN MARTÍN,2012,1032.7,5.65,26.45,6.6,28.5,4.7,24.4,Selva
SAN MARTÍN,2013,1001.2,6.6,30.6,7.5,33.2,5.7,28.0,Selva
SAN MARTÍN,2014,1038.2,6.1,29.55,7.0,31.8,5.2,27.3,Selva
SAN MARTÍN,2015,1098.9,6.45,26.9,7.3,29.0,5.6,24.8,Selva
SAN MARTÍN,2016,1079.2,4.8,22.65,5.7,24.7,3.9,20.6,Selva
SAN MARTÍN,2017,1128.8,3.65,24.6,4.4,26.2,2.9,23.0,Selva
SAN MARTÍN,2018,1175.8,3.1,23.1,3.6,24.6,2.6,21.6,Selva
SAN MARTÍN,2019,1159.2,2.95,23.6,3.5,25.3,2.4,21.9,Selva
SAN MARTÍN,2020,983.3,3.05,26.25,3.7,28.6,2.4,23.9,Selva
SAN MARTÍN,2021,1178.9,3.55,20.9,4.2,22.8,2.9,19.0,Selva
SAN MARTÍN,2022,1260.5,3.85,27.55,4.4,29.2,3.3,25.9,Selva
SAN MARTÍN,2023,1370.5,3.0,24.45,3.7,25.8,2.3,23.1,Selva
SAN MARTÍN,2024,,5.4,26.2,6.2,28.0,4.6,24.4,Selva
SAN MARTÍN,2025,,3.6,20.85,4.3,22.3,2.9,19.4,Selva
TACNA,2004,760.0,,,,,,,Costa
TACNA,2005,809.5,,,,,,,Costa
TACNA,2006,890.5,,,,,,,Costa
TACNA,2007,909.6,1.45,25.35,1.9,27.2,1.0,23.5,Costa
TACNA,2008,1034.6,2.6,21.8,3.2,23.9,2.0,19.7,Costa
TACNA,2009,1055.0,1.2,16.9,1.7,18.6,0.7,15.2,Costa
TACNA,2010,1125.5,1.05,15.7,1.4,17.2,0.7,14.2,Costa
TACNA,2011,1135.5,1.05,15.85,1.4,17.6,0.7,14.1,Costa
TACNA,2012,1244.0,0.85,14.05,1.3,15.6,0.4,12.5,Costa
TACNA,2013,1270.5,,13.1,,14.5,,11.7,Costa
TACNA,2014,1295.2,0.25,12.1,0.4,13.4,0.1,10.8,Costa
TACNA,2015,1323.2,0.4,11.2,0.6,12.6,0.2,9.8,Costa
TACNA,2016,1336.6,0.25,16.05,0.4,18.1,0.1,14.0,Costa
TACNA,2017,1354.2,0.7,13.35,1.0,14.6,0.4,12.1,Costa
TACNA,2018,1359.4,0.5,12.55,0.7,13.8,0.3,11.3,Costa
TACNA,2019,1392.3,0.5,13.3,0.7,14.6,0.3,12.0,Costa
TACNA,2020,1259.9,3.05,26.25,3.7,28.6,2.4,23.9,Costa
TACNA,2021,1245.6,1.85,20.9,2.4,22.8,1.3,19.0,Costa
TACNA,2022,1453.2,2.55,22.0,3.2,23.6,1.9,20.4,Costa
TACNA,2023,1555.4,3.0,24.45,3.7,25.8,2.3,23.1,Costa
TACNA,2024,,2.95,26.2,3.6,28.0,2.3,24.4,Costa
TACNA,2025,,1.75,20.85,2.2,22.3,1.3,19.4,Costa
TUMBES,2004,668.1,,,,,,,Costa
TUMBES,2005,739.6,,,,,,,Costa
TUMBES,2006,754.8,,,,,,,Costa
TUMBES,2007,873.5,0.4,25.35,0.7,27.2,0.1,23.5,Costa
TUMBES,2008,783.4,0.25,21.8,0.5,23.9,0.0,19.7,Costa
TUMBES,2009,856.2,1.2,16.9,1.7,18.6,0.7,15.2,Costa
TUMBES,2010,910.7,0.2,15.7,0.4,17.2,0.0,14.2,Costa
TUMBES,2011,1035.2,1.05,11.8,1.4,13.5,0.7,10.1,Costa
TUMBES,2012,1117.7,0.85,14.05,1.3,15.6,0.4,12.5,Costa
TUMBES,2013,1104.5,,13.1,,14.5,,11.7,Costa
TUMBES,2014,1145.4,0.25,12.1,0.4,13.4,0.1,10.8,Costa
TUMBES,2015,1165.3,0.4,11.2,0.6,12.6,0.2,9.8,Costa
TUMBES,2016,1255.5,0.25,10.8,0.4,12.0,0.1,9.6,Costa
TUMBES,2017,1260.8,0.7,13.35,1.0,14.6,0.4,12.1,Costa
TUMBES,2018,1338.3,0.5,12.55,0.7,13.8,0.3,11.3,Costa
TUMBES,2019,1264.3,0.5,13.3,0.7,14.6,0.3,12.0,Costa
TUMBES,2020,1142.6,3.05,32.95,3.7,34.6,2.4,31.3,Costa
TUMBES,2021,1186.5,0.15,20.9,0.3,22.8,0.0,19.0,Costa
TUMBES,2022,1349.7,0.05,27.55,0.1,29.2,0.0,25.9,Costa
TUMBES,2023,1466.9,0.5,29.65,0.9,31.4,0.1,27.9,Costa
TUMBES,2024,,0.45,26.2,0.7,28.0,0.2,24.4,Costa
TUMBES,2025,,1.75,27.2,2.2,29.0,1.3,25.4,Costa
UCAYALI,2004,562.5,,,,,,,Selva
UCAYALI,2005,608.6,,,,,,,Selva
UCAYALI,2006,566.8,,,,,,,Selva
UCAYALI,2007,758.8,11.0,43.65,12.5,46.6,9.5,40.7,Selva
UCAYALI,2008,771.8,11.15,37.5,13.4,40.1,8.9,34.9,Selva
UCAYALI,2009,851.6,5.4,33.5,6.7,36.3,4.1,30.7,Selva
UCAYALI,2010,825.0,4.3,28.55,5.6,31.6,3.0,25.5,Selva
UCAYALI,2011,963.3,1.05,11.8,1.4,13.5,0.7,10.1,Selva
UCAYALI,2012,1015.3,0.85,14.05,1.3,15.6,0.4,12.5,Selva
UCAYALI,2013,1017.5,2.05,13.1,2.6,14.5,1.5,11.7,Selva
UCAYALI,2014,1007.7,2.2,12.1,2.8,13.4,1.6,10.8,Selva
UCAYALI,2015,1165.7,2.95,11.2,3.7,12.6,2.2,9.8,Selva
UCAYALI,2016,1182.6,1.9,10.8,2.5,12.0,1.3,9.6,Selva
UCAYALI,2017,1166.8,3.65,13.35,4.4,14.6,2.9,12.1,Selva
UCAYALI,2018,1212.0,0.5,12.55,0.7,13.8,0.3,11.3,Selva
UCAYALI,2019,1174.4,0.5,13.3,0.7,14.6,0.3,12.0,Selva
UCAYALI,2020,1203.1,3.05,26.25,3.7,28.6,2.4,23.9,Selva
UCAYALI,2021,1279.3,1.85,20.9,2.4,22.8,1.3,19.0,Selva
UCAYALI,2022,1462.8,2.55,22.0,3.2,23.6,1.9,20.4,Selva
UCAYALI,2023,1449.2,4.55,24.45,5.2,25.8,3.9,23.1,Selva
UCAYALI,2024,,2.95,26.2,3.6,28.0,2.3,24.4,Selva
UCAYALI,2025,,1.75,20.85,2.2,22.3,1.3,19.4,Selva
ÁNCASH,2004,521.6,,,,,,,Costa
ÁNCASH,2005,557.4,,,,,,,Costa
ÁNCASH,2006,566.9,,,,,,,Costa
ÁNCASH,2007,623.8,11.0,43.65,12.5,46.6,9.5,40.7,Costa
ÁNCASH,2008,734.0,11.15,37.5,13.4,40.1,8.9,34.9,Costa
ÁNCASH,2009,770.8,5.4,33.5,6.7,36.3,4.1,30.7,Costa
ÁNCASH,2010,869.6,4.3,28.55,5.6,31.6,3.0,25.5,Costa
ÁNCASH,2011,941.1,7.15,28.5,8.2,30.6,6.1,26.4,Costa
ÁNCASH,2012,973.5,5.65,26.45,6.6,28.5,4.7,24.4,Costa
ÁNCASH,2013,1009.1,6.6,21.45,7.5,23.4,5.7,19.5,Costa
ÁNCASH,2014,1048.7,6.1,21.2,7.0,23.2,5.2,19.2,Costa
ÁNCASH,2015,1014.4,2.95,26.9,3.7,29.0,2.2,24.8,Costa
ÁNCASH,2016,1094.9,4.8,22.65,5.7,24.7,3.9,20.6,Costa
ÁNCASH,2017,1090.0,3.65,24.6,4.4,26.2,2.9,23.0,Costa
ÁNCASH,2018,1117.0,3.1,23.1,3.6,24.6,2.6,21.6,Costa
ÁNCASH,2019,1230.9,2.95,13.3,3.5,14.6,2.4,12.0,Costa
ÁNCASH,2020,1057.2,3.05,32.95,3.7,34.6,2.4,31.3,Costa
ÁNCASH,2021,1147.7,3.55,20.9,4.2,22.8,2.9,19.0,Costa
ÁNCASH,2022,1286.5,3.85,22.0,4.4,23.6,3.3,20.4,Costa
ÁNCASH,2023,1427.5,4.55,24.45,5.2,25.8,3.9,23.1,Costa
ÁNCASH,2024,,5.4,26.2,6.2,28.0,4.6,24.4,Costa
ÁNCASH,2025,,3.6,20.85,4.3,22.3,2.9,19.4,Costa
