departamento,anio,ingreso_laboral_soles,pobreza_extrema_pct,pobreza_total_pct,valor_max_pobreza_extrema_pct,valor_max_pobreza_total_pct,valor_min_pobreza_extrema_pct,valor_min_pobreza_total_pct,region_natural
AYACUCHO,2013,752.2,13.85,50.55,15.5,53.3,12.2,47.8,Sierra
AYACUCHO,2014,773.5,12.35,50.3,13.8,53.1,10.9,47.5,Sierra
AYACUCHO,2015,904.6,10.55,36.4,12.3,38.5,8.8,34.3,Sierra
AYACUCHO,2016,879.5,8.75,34.25,9.8,36.1,7.7,32.4,Sierra
AYACUCHO,2017,902.2,5.6,35.05,6.5,36.8,4.7,33.3,Sierra
AYACUCHO,2018,959.8,6.85,34.55,7.7,36.2,6.0,32.9,Sierra
AYACUCHO,2019,970.6,6.85,36.9,7.9,39.4,5.8,34.4,Sierra
AYACUCHO,2020,1095.4,12.95,43.65,14.7,45.9,11.2,41.4,Sierra
AYACUCHO,2021,1005.6,7.1,38.8,8.1,40.9,6.1,36.7,Sierra
AYACUCHO,2022,1222.0,11.05,41.35,12.3,43.3,9.8,39.4,Sierra
AYACUCHO,2023,1228.5,9.15,41.85,10.5,43.8,7.8,39.9,Sierra
AYACUCHO,2024,,11.3,31.9,12.8,33.8,9.8,30.0,Sierra
AYACUCHO,2025,,3.6,37.75,4.3,39.8,2.9,35.7,Sierra
CAJAMARCA,2004,410.7,,,,,,,Sierra
CAJAMARCA,2005,430.2,,,,,,,Sierra
CAJAMARCA,2006,457.3,,,,,,,Sierra
CAJAMARCA,2007,472.7,31.4,68.15,37.1,71.1,25.7,65.2,Sierra
CAJAMARCA,2008,550.1,21.1,56.85,23.1,59.2,19.1,54.5,Sierra
CAJAMARCA,2009,649.6,33.4,55.2,37.0,57.4,29.8,53.0,Sierra
CAJAMARCA,2010,724.0,20.0,48.8,21.7,50.9,18.3,46.7,Sierra
CAJAMARCA,2011,793.4,22.7,54.95,25.6,57.7,19.8,52.2,Sierra
CAJAMARCA,2012,812.0,22.0,53.3,24.9,56.5,19.1,50.1,Sierra
CAJAMARCA,2013,835.4,22.55,50.55,27.0,53.3,18.1,47.8,Sierra
CAJAMARCA,2014,760.5,19.2,50.3,23.2,53.1,15.2,47.5,Sierra
CAJAMARCA,2015,828.2,20.25,48.2,23.9,51.7,16.6,44.7,Sierra
CAJAMARCA,2016,806.3,19.95,47.35,23.3,50.9,16.6,43.8,Sierra
CAJAMARCA,2017,843.3,17.0,47.55,20.5,52.0,13.5,43.1,Sierra
CAJAMARCA,2018,817.9,11.2,41.85,13.9,46.3,8.5,37.4,Sierra
CAJAMARCA,2019,954.4,11.15,36.9,14.0,39.4,8.3,34.4,Sierra
CAJAMARCA,2020,850.2,12.95,43.65,14.7,45.9,11.2,41.4,Sierra
CAJAMARCA,2021,1050.0,12.15,38.8,14.3,40.9,10.0,36.7,Sierra
CAJAMARCA,2022,988.1,18.35,41.35,21.8,43.3,14.9,39.4,Sierra
CAJAMARCA,2023,1148.8,15.4,41.85,17.1,43.8,13.7,39.9,Sierra
CAJAMARCA,2024,,17.7,41.75,20.3,44.0,15.1,39.5,Sierra
CAJAMARCA,2025,,13.05,37.75,15.1,39.8,11.0,35.7,Sierra
CALLAO,2007,971.7,,,,,,,Costa
CALLAO,2008,1097.2,,,,,,,Costa
CALLAO,2009,1238.0,,,,,,,Costa
CALLAO,2010,1219.0,,,,,,,Costa
CALLAO,2011,1189.1,,,,,,,Costa
CALLAO,2012,1329.8,,,,,,,Costa
CALLAO,2013,1353.3,,13.1,,14.5,,11.7,Costa
CALLAO,2014,1494.5,0.25,12.1,0.4,13.4,0.1,10.8,Costa
CALLAO,2015,1528.5,0.4,11.2,0.6,12.6,0.2,9.8,Costa
CALLAO,2016,1561.1,0.25,10.8,0.4,12.0,0.1,9.6,Costa
CALLAO,2017,1598.5,0.7,13.35,1.0,14.6,0.4,12.1,Costa
CALLAO,2018,1526.3,0.5,12.55,0.7,13.8,0.3,11.3,Costa
CALLAO,2019,1579.6,0.5,13.3,0.7,14.6,0.3,12.0,Costa
CALLAO,2020,1355.6,3.05,32.95,3.7,34.6,2.4,31.3,Costa
CALLAO,2021,1430.8,3.55,25.55,4.2,27.1,2.9,24.0,Costa
CALLAO,2022,,3.85,27.55,4.4,29.2,3.3,25.9,Costa
CALLAO,2023,,3.0,29.65,3.7,31.4,2.3,27.9,Costa
CALLAO,2024,,5.4,31.9,6.2,33.8,4.6,30.0,Costa
CALLAO,2025,,3.6,27.2,4.3,29.0,2.9,25.4,Costa
CUSCO,2004,390.1,,,,,,,Sierra
CUSCO,2005,411.3,,,,,,,Sierra
CUSCO,2006,464.0,,,,,,,Sierra
CUSCO,2007,584.7,23.7,56.55,25.6,59.0,21.8,54.1,Sierra
CUSCO,2008,650.6,21.1,56.85,23.1,59.2,19.1,54.5,Sierra
CUSCO,2009,756.5,10.8,41.6,12.7,45.9,8.9,37.3,Sierra
